60,54,1,6
73,74,6,5
53,63,6,5
72,75,6,4
54,60,3,4
63,64,1,4
62,52,10,4
69,74,4,3
73,71,9,3
59,61,3,3
76,81,4,3
69,52,4,3
70,64,3,3
72,82,1,3
79,68,3,3
83,63,3,2
76,78,7,2
55,85,3,2
84,61,7,2
85,83,3,2
78,60,7,2
57,60,8,2
77,60,8,2
65,77,5,2
80,73,8,2
85,77,5,2
79,65,5,2
63,44,8,2
53,55,8,2
66,51,1,2
61,45,8,2
85,77,1,1
68,59,15,1
76,59,9,1
75,77,7,1
71,78,11,1
67,86,5,1
56,49,1,1
64,37,15,1
76,66,11,1
74,60,5,1
93,75,11,1
79,77,5,1
71,66,1,1
70,59,15,1
80,69,13,1
53,58,3,1
57,40,13,1
87,85,3,1
71,64,9,1
83,80,7,1
75,35,13,1
87,68,3,1
73,69,9,1
75,80,7,1
93,78,9,1
57,61,7,1
48,77,1,1
67,55,15,1
73,53,5,1
89,81,3,1
77,53,11,1
59,60,5,1
